Cluster,community,community_no,Arm
1,CHIMWEMWE,101,B
2,NDEKE,102,A
3,NGUNGU,103,C
4,CHIFUBU,104,C
5,CHIPULUKUSU,105,A
6,MAKULULU,106,B
7,CHAWAMA,107,C
8,CHIPATA,108,A
9,KANYAMA,109,B
10,DAMBWA,110,A
11,MARAMBA,111,B
12,SHAMPANDE,112,C
13,KUYASA,113,B
14,LUVUYO,114,A
15,Town II,115,C
16,IKHWEZI,116,A
17,BLOEKOMBOS,117,C
18,Delft South,118,B
19,DALEVALE,119,A
20,WELLINGTON,120,B
21,CLOETESVILLE,121,C
